order_item_id,order_id,product_id,quantity,unit_price,discount
OI0000001,O000001,P00307,1,20572.16,0.05
OI0000002,O000001,P00539,1,33865.51,0.0
OI0000003,O000002,P00634,3,30617.48,0.0
OI0000004,O000002,P00691,1,172094.36,0.0
OI0000005,O000002,P00836,1,21019.33,0.05
OI0000006,O000002,P00828,3,7402.15,0.0
OI0000007,O000003,P00754,1,82040.65,0.0
OI0000008,O000004,P00573,3,118070.13,0.0
OI0000009,O000004,P00053,3,7770.05,0.1
OI0000010,O000005,P00127,3,36683.61,0.0
OI0000011,O000005,P00480,1,39070.4,0.0
OI0000012,O000005,P00872,1,32097.61,0.0
OI0000013,O000006,P00013,1,12621.16,0.05
OI0000014,O000006,P00314,1,144175.09,0.05
OI0000015,O000006,P00055,1,82903.93,0.05
OI0000016,O000007,P00727,1,10520.15,0.0
OI0000017,O000007,P00648,2,93798.99,0.0
OI0000018,O000007,P00511,1,14063.99,0.0
OI0000019,O000007,P00009,1,140059.0,0.0
OI0000020,O000008,P00096,1,21671.98,0.0
OI0000021,O000008,P00079,3,104905.36,0.05
OI0000022,O000008,P00290,3,528.09,0.0
OI0000023,O000008,P00293,1,34452.59,0.1
OI0000024,O000009,P00987,3,140039.9,0.2
OI0000025,O000009,P00834,3,67668.99,0.0
OI0000026,O000009,P00849,1,5018.94,0.0
OI0000027,O000009,P00505,2,166205.23,0.0
OI0000028,O000010,P00049,2,36658.84,0.0
OI0000029,O000010,P00089,1,27032.53,0.0
OI0000030,O000010,P00653,2,13267.11,0.0
OI0000031,O000010,P00925,1,144999.32,0.0
OI0000032,O000011,P00405,3,55916.74,0.05
OI0000033,O000011,P00625,1,95254.34,0.0
OI0000034,O000011,P00837,2,112121.29,0.0
OI0000035,O000012,P00457,1,160609.3,0.05
OI0000036,O000013,P00551,1,55096.18,0.0
OI0000037,O000013,P00296,2,14094.84,0.0
OI0000038,O000013,P00258,1,24816.01,0.05
OI0000039,O000013,P00837,2,112121.29,0.2
OI0000040,O000014,P00179,1,83576.95,0.1
OI0000041,O000014,P00881,1,49933.72,0.0
OI0000042,O000014,P00470,2,44345.48,0.0
