order_id,customer_id,order_date,status,payment_method,delivery_type
O000001,C01457,2025-06-29,completed,Installment,Post
O000002,C04955,2023-08-24,completed,Card,Courier
O000003,C02782,2026-01-24,completed,Installment,Courier
O000004,C00719,2024-08-30,completed,Installment,Post
O000005,C00011,2025-09-01,completed,Installment,Post
O000006,C03187,2025-03-28,completed,Card,Pickup Point
O000007,C04115,2025-04-24,completed,Card,Post
O000008,C02493,2024-01-14,completed,Installment,Courier
O000009,C03455,2025-02-20,completed,Card,Pickup Point
O000010,C02271,2025-10-13,completed,Online Wallet,Pickup Point
O000011,C02295,2026-01-31,completed,Online Wallet,Courier
O000012,C02343,2024-12-20,completed,Online Wallet,Courier
O000013,C00240,2023-11-17,completed,Card,Post
O000014,C04888,2024-11-15,completed,Online Wallet,Post
O000015,C01731,2025-12-23,completed,Installment,Courier
O000016,C02208,2026-03-29,completed,Online Wallet,Courier
O000017,C02228,2023-10-16,returned,Installment,Post
O000018,C02918,2025-01-30,completed,Card,Courier
O000019,C00649,2025-01-10,completed,Cash,Post
O000020,C03063,2025-12-21,returned,Installment,Courier
O000021,C02917,2024-08-23,completed,Card,Post
O000022,C00034,2026-02-04,completed,Card,Pickup Point
O000023,C02190,2025-06-26,completed,Cash,Courier
O000024,C02778,2025-09-23,completed,Online Wallet,Post
O000025,C03316,2025-08-27,completed,Cash,Courier
O000026,C03567,2025-10-24,completed,Cash,Pickup Point
O000027,C03082,2025-09-20,completed,Card,Post
O000028,C02246,2025-08-05,completed,Online Wallet,Pickup Point
O000029,C02590,2025-11-03,returned,Online Wallet,Pickup Point
O000030,C02622,2025-12-30,completed,Cash,Courier
O000031,C00160,2025-04-27,completed,Online Wallet,Pickup Point
O000032,C02994,2026-03-01,completed,Online Wallet,Courier
O000033,C04329,2025-06-26,cancelled,Card,Pickup Point
O000034,C03748,2026-02-19,completed,Online Wallet,Post
O000035,C02452,2024-01-25,completed,Online Wallet,Post
O000036,C02989,2025-09-19,completed,Online Wallet,Post
O000037,C01595,2025-11-08,completed,Cash,Pickup Point
O000038,C02829,2024-12-01,completed,Installment,Courier
O000039,C00342,2026-01-16,completed,Cash,Courier
O000040,C00710,2025-01-13,cancelled,Card,Post
O000041,C04131,2025-12-20,completed,Cash,Pickup Point
O000042,C01738,2025-05-18,completed,Online Wallet,Courier
O000043,C04546,2026-01-15,returned,Card,Courier
O000044,C03453,2025-08-17,completed,Cash,Pickup Point
O000045,C01998,2026-01-28,cancelled,Online Wallet,Post
O000046,C04413,2025-07-07,completed,Card,Courier
O000047,C04696,2025-12-08,completed,Card,Courier
O000048,C04444,2025-12-27,completed,Card,Post
O000049,C04665,2025-06-12,completed,Installment,Courier
O000050,C01385,2026-03-31,completed,Online Wallet,Post
O000051,C04112,2025-03-19,completed,Card,Pickup Point
O000052,C01543,2025-03-20,completed,Cash,Post
O000053,C03004,2026-03-11,completed,Card,Courier
O000054,C03874,2024-10-24,completed,Cash,Post
O000055,C02125,2026-02-25,cancelled,Cash,Post
O000056,C04532,2026-03-21,cancelled,Online Wallet,Post
O000057,C02486,2026-02-22,cancelled,Installment,Post
O000058,C03049,2025-05-10,completed,Cash,Post
O000059,C01296,2024-02-17,cancelled,Online Wallet,Courier
O000060,C02614,2025-11-16,completed,Cash,Post
O000061,C01432,2023-09-01,completed,Cash,Courier
O000062,C00724,2026-03-21,completed,Online Wallet,Pickup Point
O000063,C03487,2024-12-10,completed,Card,Post
O000064,C03854,2025-08-11,completed,Online Wallet,Pickup Point
O000065,C03499,2025-06-19,completed,Installment,Pickup Point
O000066,C04838,2023-06-02,cancelled,Installment,Courier
O000067,C00522,2025-05-20,cancelled,Cash,Courier
O000068,C01720,2026-01-07,completed,Installment,Pickup Point
O000069,C00879,2025-01-05,completed,Cash,Post
O000070,C03232,2024-03-05,completed,Card,Courier
O000071,C02054,2026-01-08,completed,Cash,Courier
O000072,C02220,2026-03-17,cancelled,Cash,Post
O000073,C01099,2024-04-13,completed,Cash,Courier
O000074,C04483,2026-02-18,completed,Online Wallet,Pickup Point
O000075,C03064,2025-06-12,cancelled,Card,Post
O000076,C00296,2025-09-25,completed,Online Wallet,Courier
O000077,C00032,2025-06-15,returned,Cash,Courier
O000078,C00793,2024-11-21,completed,Card,Pickup Point
O000079,C02781,2025-10-13,returned,Installment,Post
O000080,C01799,2024-10-21,completed,Card,Courier
O000081,C04636,2026-02-04,completed,Card,Post
O000082,C00314,2025-04-02,completed,Online Wallet,Pickup Point
O000083,C03607,2026-03-31,returned,Card,Pickup Point
O000084,C03345,2023-08-22,completed,Installment,Post
O000085,C00881,2025-12-14,completed,Cash,Courier
O000086,C00160,2024-03-25,completed,Installment,Pickup Point
O000087,C02918,2025-04-17,completed,Cash,Pickup Point
O000088,C03372,2026-03-18,completed,Cash,Pickup Point
O000089,C03845,2025-10-29,completed,Cash,Post
O000090,C04429,2025-12-29,completed,Installment,Post
O000091,C01471,2026-02-08,completed,Card,Post
O000092,C00543,2025-11-15,completed,Card,Courier
O000093,C02070,2026-03-04,cancelled,Card,Pickup Point
O000094,C01181,2024-12-09,completed,Online Wallet,Post
O000095,C04820,2024-01-15,completed,Cash,Pickup Point
O000096,C02880,2026-02-13,completed,Card,Pickup Point
O000097,C01496,2026-01-28,completed,Card,Courier
O000098,C02708,2026-01-25,completed,Cash,Pickup Point
O000099,C01236,2023-10-20,completed,Installment,Courier
O000100,C00057,2025-11-27,completed,Card,Courier
O000101,C04457,2024-02-26,completed,Installment,Post
O000102,C01758,2025-07-20,completed,Cash,Post
O000103,C03061,2025-10-24,completed,Card,Post
O000104,C02500,2024-08-10,completed,Installment,Pickup Point
O000105,C00565,2025-04-26,completed,Card,Pickup Point
O000106,C04725,2025-07-08,completed,Card,Post
O000107,C01637,2025-09-09,completed,Online Wallet,Courier
O000108,C01245,2023-05-17,completed,Card,Post
O000109,C02513,2025-10-17,completed,Card,Post
O000110,C03394,2025-11-18,completed,Card,Courier
O000111,C02377,2023-08-29,completed,Online Wallet,Pickup Point
O000112,C03450,2025-12-06,cancelled,Online Wallet,Pickup Point
O000113,C02505,2024-05-09,returned,Online Wallet,Courier
O000114,C04510,2024-06-14,completed,Installment,Pickup Point
O000115,C01645,2025-03-14,returned,Card,Pickup Point
O000116,C01413,2025-08-17,completed,Installment,Pickup Point
O000117,C04423,2025-02-21,completed,Installment,Courier
O000118,C04604,2026-01-08,cancelled,Cash,Post
O000119,C04143,2026-03-02,completed,Card,Pickup Point
O000120,C04943,2025-12-22,completed,Online Wallet,Pickup Point
O000121,C00115,2025-05-25,completed,Card,Post
O000122,C04293,2025-03-09,cancelled,Card,Courier
O000123,C04172,2025-07-04,completed,Installment,Courier
O000124,C00742,2025-03-21,completed,Installment,Pickup Point
O000125,C04527,2025-12-15,cancelled,Installment,Post
O000126,C02219,2026-03-30,cancelled,Installment,Courier
O000127,C04168,2025-11-25,completed,Card,Courier
O000128,C01946,2026-02-02,completed,Cash,Pickup Point
O000129,C02238,2025-04-24,completed,Installment,Courier
O000130,C02022,2025-02-16,completed,Cash,Post
O000131,C00784,2025-10-30,completed,Card,Post
O000132,C01278,2024-11-27,completed,Card,Post
O000133,C00178,2025-11-19,cancelled,Cash,Post
O000134,C03360,2026-02-03,completed,Cash,Pickup Point
O000135,C04123,2026-01-18,completed,Cash,Courier
O000136,C02373,2025-11-27,completed,Card,Courier
O000137,C01069,2026-01-17,completed,Cash,Pickup Point
O000138,C01815,2026-01-12,cancelled,Cash,Pickup Point
O000139,C03707,2024-03-20,completed,Cash,Pickup Point
O000140,C00082,2024-12-10,cancelled,Installment,Courier
O000141,C02409,2025-12-31,completed,Online Wallet,Courier
O000142,C03473,2024-12-30,completed,Online Wallet,Pickup Point
O000143,C00001,2026-03-23,completed,Cash,Post
O000144,C02067,2025-09-14,completed,Installment,Courier
O000145,C02055,2025-03-06,cancelled,Card,Pickup Point
O000146,C01139,2024-10-20,completed,Card,Pickup Point
O000147,C03842,2025-07-19,completed,Installment,Courier
O000148,C04919,2025-09-20,cancelled,Installment,Courier
O000149,C00769,2025-11-02,completed,Installment,Pickup Point
O000150,C04593,2025-02-11,cancelled,Installment,Pickup Point
O000151,C00936,2025-12-16,returned,Online Wallet,Pickup Point
O000152,C02116,2025-09-30,completed,Online Wallet,Post
O000153,C04825,2025-12-10,completed,Cash,Pickup Point
O000154,C00200,2025-07-11,completed,Card,Courier
O000155,C01486,2024-09-23,completed,Installment,Courier
O000156,C02385,2024-09-13,returned,Installment,Post
O000157,C00837,2025-08-18,completed,Cash,Pickup Point
O000158,C02891,2025-06-22,completed,Card,Post
O000159,C02704,2025-05-19,completed,Cash,Post
O000160,C04002,2026-01-28,returned,Online Wallet,Post
O000161,C00561,2026-02-01,cancelled,Online Wallet,Courier
O000162,C00291,2025-11-08,returned,Installment,Pickup Point
O000163,C01429,2025-09-29,completed,Card,Courier
O000164,C00310,2025-09-05,returned,Card,Pickup Point
O000165,C01498,2026-01-08,cancelled,Installment,Courier
O000166,C01606,2024-09-08,cancelled,Cash,Post
O000167,C03923,2026-01-20,completed,Card,Courier
O000168,C04672,2025-03-22,completed,Cash,Post
O000169,C03320,2026-02-25,completed,Installment,Pickup Point
O000170,C03613,2025-10-17,completed,Cash,Courier
O000171,C00259,2025-02-24,completed,Cash,Courier
O000172,C02789,2025-09-14,completed,Card,Courier
O000173,C01208,2025-11-01,completed,Card,Pickup Point
O000174,C01384,2024-11-27,cancelled,Card,Pickup Point
O000175,C02687,2025-09-13,completed,Cash,Courier
O000176,C03457,2024-10-31,completed,Cash,Pickup Point
O000177,C01104,2025-10-04,completed,Card,Post
O000178,C00392,2025-10-24,completed,Online Wallet,Courier
O000179,C02458,2025-09-12,completed,Card,Post
O000180,C01789,2024-06-23,completed,Cash,Pickup Point
O000181,C01336,2026-02-07,returned,Online Wallet,Courier
O000182,C00335,2025-10-05,completed,Online Wallet,Post
O000183,C00941,2025-10-29,completed,Card,Courier
O000184,C02749,2025-02-25,completed,Cash,Courier
O000185,C02489,2026-01-16,completed,Online Wallet,Pickup Point
O000186,C01879,2024-06-07,completed,Cash,Post
O000187,C02079,2024-12-30,completed,Cash,Pickup Point
O000188,C04947,2025-08-11,cancelled,Card,Post
O000189,C01841,2025-10-21,completed,Installment,Pickup Point
O000190,C04237,2024-06-22,completed,Installment,Pickup Point
O000191,C01379,2023-04-16,completed,Card,Courier
O000192,C01716,2025-12-23,completed,Cash,Pickup Point
O000193,C03051,2025-12-27,completed,Installment,Pickup Point
O000194,C04795,2026-03-26,completed,Cash,Post
O000195,C03841,2025-09-15,completed,Card,Post
O000196,C04341,2024-06-20,completed,Cash,Courier
O000197,C02120,2025-09-09,completed,Installment,Post
O000198,C00299,2024-11-15,completed,Online Wallet,Post
O000199,C02996,2025-10-03,completed,Online Wallet,Pickup Point
O000200,C01424,2025-03-28,cancelled,Online Wallet,Courier
O000201,C02355,2024-07-25,completed,Cash,Pickup Point
O000202,C00666,2025-10-26,completed,Installment,Post
O000203,C00338,2026-01-22,completed,Card,Pickup Point
O000204,C01088,2026-01-10,completed,Card,Courier
O000205,C03974,2025-05-30,completed,Card,Courier
O000206,C02357,2026-03-21,completed,Cash,Pickup Point
O000207,C04031,2025-05-11,completed,Cash,Post
O000208,C00445,2025-07-24,returned,Card,Post
O000209,C04041,2026-03-27,completed,Cash,Courier
O000210,C04512,2024-11-18,completed,Card,Courier
O000211,C02331,2026-03-29,completed,Card,Pickup Point
O000212,C02938,2025-12-08,completed,Online Wallet,Post
O000213,C00734,2025-02-15,completed,Installment,Post
O000214,C04636,2025-09-01,completed,Online Wallet,Pickup Point
O000215,C02480,2025-01-15,completed,Installment,Courier
O000216,C01442,2024-11-09,completed,Card,Courier
O000217,C01392,2025-10-20,completed,Installment,Courier
O000218,C03918,2026-01-13,completed,Installment,Courier
O000219,C00610,2025-10-29,completed,Online Wallet,Post
O000220,C04425,2024-11-19,cancelled,Cash,Post
O000221,C04538,2025-10-24,returned,Installment,Post
O000222,C01752,2025-03-24,completed,Installment,Pickup Point
O000223,C04387,2025-07-16,completed,Card,Courier
O000224,C03543,2025-02-17,completed,Installment,Courier
O000225,C00892,2026-02-16,cancelled,Card,Pickup Point
O000226,C00565,2025-07-15,completed,Cash,Courier
O000227,C02413,2025-06-29,completed,Installment,Courier
O000228,C04524,2025-09-20,completed,Card,Courier
O000229,C03646,2025-10-12,returned,Card,Pickup Point
O000230,C00012,2025-01-04,completed,Cash,Post
O000231,C02434,2024-07-24,completed,Cash,Post
O000232,C01580,2024-04-18,completed,Installment,Pickup Point
O000233,C01847,2026-03-11,completed,Installment,Courier
O000234,C01466,2023-11-24,completed,Card,Post
O000235,C03366,2025-06-17,completed,Cash,Post
O000236,C02681,2026-03-07,completed,Installment,Courier
O000237,C00714,2025-10-28,completed,Card,Post
O000238,C02982,2025-06-05,cancelled,Installment,Courier
O000239,C02206,2026-02-12,completed,Card,Post
O000240,C02534,2026-01-27,completed,Cash,Courier
O000241,C04243,2025-02-03,completed,Installment,Post
O000242,C01198,2026-03-23,completed,Cash,Post
O000243,C03217,2024-11-11,completed,Card,Pickup Point
O000244,C03166,2025-02-27,completed,Installment,Post
O000245,C00489,2025-02-12,completed,Cash,Courier
O000246,C03081,2025-11-14,completed,Online Wallet,Pickup Point
O000247,C03912,2026-03-13,completed,Card,Pickup Point
O000248,C02857,2024-06-05,completed,Installment,Post
O000249,C01726,2026-02-08,completed,Installment,Post
O000250,C02714,2024-01-03,completed,Installment,Courier
O000251,C04033,2025-03-11,completed,Card,Post
O000252,C00813,2024-11-15,completed,Card,Courier
O000253,C03324,2023-08-31,cancelled,Online Wallet,Pickup Point
O000254,C03012,2025-05-24,completed,Card,Courier
O000255,C00149,2024-02-16,completed,Cash,Pickup Point
O000256,C01108,2025-06-10,completed,Installment,Post
O000257,C03686,2025-06-26,returned,Cash,Post
O000258,C02940,2024-09-15,completed,Installment,Post
O000259,C02989,2025-09-29,completed,Online Wallet,Pickup Point
O000260,C04906,2024-05-08,completed,Card,Courier
O000261,C04022,2025-06-08,completed,Card,Courier
O000262,C02293,2024-09-11,completed,Card,Pickup Point
O000263,C03563,2025-02-01,completed,Installment,Post
O000264,C02680,2023-12-13,completed,Cash,Pickup Point
O000265,C04240,2024-09-23,completed,Card,Pickup Point
O000266,C02681,2026-03-31,cancelled,Online Wallet,Courier
O000267,C04663,2026-01-09,completed,Online Wallet,Courier
O000268,C04502,2026-02-13,returned,Card,Courier
O000269,C00517,2026-01-06,cancelled,Online Wallet,Pickup Point
O000270,C01508,2023-03-09,cancelled,Installment,Courier
O000271,C01802,2023-09-08,completed,Cash,Courier
O000272,C01526,2025-04-19,completed,Online Wallet,Post
O000273,C03066,2024-10-30,completed,Card,Post
O000274,C00353,2025-04-11,completed,Online Wallet,Courier
O000275,C01778,2026-03-26,completed,Online Wallet,Pickup Point
O000276,C01218,2024-02-08,completed,Installment,Courier
O000277,C01980,2024-07-22,cancelled,Card,Pickup Point
O000278,C04236,2025-10-09,completed,Cash,Post
O000279,C02585,2025-11-03,completed,Installment,Post
O000280,C04832,2023-09-14,completed,Installment,Pickup Point
O000281,C04797,2025-11-24,returned,Card,Courier
O000282,C02154,2025-04-29,completed,Online Wallet,Post
O000283,C03218,2024-09-19,completed,Online Wallet,Pickup Point
O000284,C00278,2024-09-16,completed,Online Wallet,Post
O000285,C00715,2025-02-25,completed,Cash,Pickup Point
O000286,C02443,2025-08-09,completed,Cash,Courier
O000287,C01753,2025-11-02,returned,Online Wallet,Courier
O000288,C02680,2023-10-09,returned,Online Wallet,Pickup Point
O000289,C02097,2024-12-19,completed,Cash,Pickup Point
O000290,C01077,2024-09-28,completed,Card,Post
O000291,C03528,2025-08-16,completed,Card,Courier
O000292,C03233,2025-09-16,completed,Installment,Post
O000293,C02822,2026-01-13,completed,Online Wallet,Courier
O000294,C00495,2024-10-26,completed,Cash,Pickup Point
O000295,C02143,2024-06-08,completed,Online Wallet,Pickup Point
O000296,C02043,2024-10-15,completed,Installment,Pickup Point
O000297,C04357,2024-09-19,completed,Card,Pickup Point
O000298,C01437,2026-02-20,completed,Installment,Pickup Point
O000299,C02384,2025-09-30,completed,Cash,Courier
O000300,C02771,2024-12-27,completed,Online Wallet,Post
O000301,C01653,2024-12-12,completed,Cash,Post
O000302,C04816,2026-01-23,completed,Online Wallet,Pickup Point
O000303,C02687,2025-10-24,completed,Cash,Post
O000304,C00406,2025-12-02,completed,Cash,Post
O000305,C04080,2024-11-20,returned,Card,Courier
O000306,C04786,2026-01-12,completed,Online Wallet,Post
O000307,C03587,2025-08-23,completed,Card,Post
O000308,C00672,2025-02-25,completed,Cash,Pickup Point
O000309,C02107,2024-05-08,completed,Installment,Pickup Point
O000310,C02066,2025-10-27,completed,Card,Pickup Point
O000311,C00397,2024-07-16,completed,Cash,Post
O000312,C02509,2025-11-20,completed,Card,Courier
O000313,C00671,2025-09-12,completed,Online Wallet,Pickup Point
O000314,C03430,2025-11-07,completed,Installment,Post
O000315,C01689,2025-11-03,completed,Installment,Post
O000316,C03775,2026-01-07,cancelled,Cash,Post
O000317,C01030,2026-01-02,completed,Card,Pickup Point
O000318,C02088,2025-01-18,completed,Cash,Courier
O000319,C02338,2024-12-12,completed,Installment,Post
O000320,C01406,2026-01-14,cancelled,Card,Pickup Point
O000321,C04373,2024-04-02,completed,Cash,Courier
O000322,C01010,2026-02-26,completed,Online Wallet,Courier
O000323,C01366,2025-12-04,completed,Installment,Courier
O000324,C00496,2026-03-11,completed,Card,Courier
O000325,C04446,2026-01-22,completed,Online Wallet,Pickup Point
O000326,C03228,2025-11-07,returned,Card,Pickup Point
O000327,C01516,2025-04-03,completed,Card,Pickup Point
O000328,C04807,2024-09-24,completed,Card,Post
O000329,C01651,2025-01-27,returned,Installment,Pickup Point
O000330,C01891,2025-04-15,completed,Cash,Pickup Point
O000331,C01278,2025-06-16,completed,Cash,Post
O000332,C00629,2024-06-30,completed,Online Wallet,Courier
O000333,C04941,2024-12-29,completed,Online Wallet,Post
O000334,C00762,2025-07-01,completed,Installment,Pickup Point
O000335,C04903,2026-02-19,completed,Card,Post
O000336,C04907,2026-01-02,completed,Installment,Courier
O000337,C03983,2024-10-18,completed,Online Wallet,Post
O000338,C02430,2023-11-28,cancelled,Online Wallet,Pickup Point
O000339,C03083,2023-11-22,completed,Cash,Post
O000340,C02739,2025-10-07,completed,Installment,Post
O000341,C00181,2025-05-16,completed,Cash,Pickup Point
O000342,C02487,2025-10-12,completed,Online Wallet,Courier
O000343,C03195,2025-11-24,completed,Cash,Post
O000344,C01338,2024-09-16,completed,Card,Pickup Point
O000345,C02868,2026-03-18,completed,Installment,Post
O000346,C00079,2026-02-24,completed,Card,Courier
O000347,C01721,2026-01-24,completed,Installment,Post
O000348,C01064,2024-03-27,completed,Cash,Pickup Point
O000349,C01464,2025-11-16,completed,Cash,Post
O000350,C01527,2024-12-07,completed,Card,Courier
O000351,C02549,2024-12-28,completed,Card,Courier
O000352,C03063,2025-10-20,completed,Card,Courier
O000353,C00967,2026-02-10,completed,Online Wallet,Pickup Point
O000354,C03095,2026-03-11,returned,Online Wallet,Courier
O000355,C03866,2024-06-06,completed,Installment,Pickup Point
O000356,C03872,2025-12-19,completed,Card,Pickup Point
O000357,C03501,2025-07-11,completed,Installment,Post
O000358,C02271,2023-12-11,completed,Cash,Courier
O000359,C00978,2024-07-17,completed,Installment,Pickup Point
O000360,C02191,2025-04-22,completed,Cash,Post
O000361,C03781,2024-01-31,completed,Online Wallet,Pickup Point
O000362,C03726,2025-04-11,completed,Cash,Pickup Point
O000363,C04273,2025-09-02,completed,Cash,Post
O000364,C03523,2024-05-29,completed,Online Wallet,Courier
O000365,C00846,2024-12-14,completed,Cash,Courier
O000366,C01053,2025-11-10,completed,Cash,Courier
O000367,C00994,2025-05-23,completed,Online Wallet,Post
O000368,C04995,2025-10-16,completed,Installment,Post
O000369,C04250,2025-04-05,completed,Cash,Post
O000370,C01047,2025-05-27,completed,Installment,Post
O000371,C01959,2024-01-28,completed,Installment,Pickup Point
O000372,C03808,2026-01-13,cancelled,Cash,Courier
O000373,C01103,2025-11-23,completed,Card,Pickup Point
O000374,C02065,2026-02-08,completed,Cash,Pickup Point
O000375,C04000,2025-12-17,completed,Card,Pickup Point
O000376,C00693,2026-03-08,completed,Card,Pickup Point
O000377,C04333,2026-03-13,completed,Card,Pickup Point
O000378,C03295,2026-02-12,completed,Online Wallet,Pickup Point
O000379,C00495,2026-01-01,cancelled,Card,Courier
O000380,C01742,2025-10-31,completed,Card,Pickup Point
O000381,C02282,2025-12-24,completed,Online Wallet,Courier
O000382,C01300,2025-03-02,cancelled,Card,Pickup Point
O000383,C04168,2025-06-24,cancelled,Cash,Post
O000384,C01818,2023-10-10,completed,Cash,Post
O000385,C03475,2025-05-13,completed,Cash,Post
