review_id,customer_id,product_id,order_id,rating,review_date
R000001,C01387,P00645,O022530,4,2024-08-05
R000002,C03957,P00215,O010364,2,2025-08-03
R000003,C04916,P00725,O003752,4,2023-10-20
R000004,C02149,P00896,O014546,4,2024-02-25
R000005,C03133,P00728,O014818,4,2024-03-10
R000006,C00344,P00647,O006473,1,2025-11-14
R000007,C04535,P00311,O022389,5,2023-06-09
R000008,C01740,P00266,O023525,4,2023-03-16
R000009,C00863,P00989,O017995,4,2024-03-17
R000010,C03666,P00851,O005037,5,2025-04-17
R000011,C02556,P00673,O019270,5,2023-07-05
R000012,C03316,P00278,O017503,1,2024-07-10
R000013,C01699,P00936,O014955,4,2023-10-17
R000014,C00992,P00451,O016664,5,2025-04-25
R000015,C02619,P00013,O011793,4,2023-04-12
R000016,C00975,P00242,O003442,4,2023-11-07
R000017,C02778,P00866,O004500,4,2023-03-12
R000018,C03593,P00229,O018630,5,2024-03-05
R000019,C00124,P00584,O022251,4,2024-08-16
R000020,C01575,P00857,O022323,4,2026-01-23
R000021,C01654,P00032,O017105,5,2023-05-28
R000022,C01153,P00370,O014377,5,2023-08-15
R000023,C02648,P00799,O024650,5,2023-05-07
R000024,C00481,P00581,O010658,5,2023-11-22
R000025,C01774,P00205,O013358,5,2024-08-10
R000026,C04424,P00081,O004200,5,2025-02-26
R000027,C01069,P00941,O021508,4,2023-08-12
R000028,C00180,P00981,O012714,5,2025-03-17
R000029,C00099,P00989,O009128,5,2026-03-20
R000030,C04745,P00964,O011750,4,2023-12-02
R000031,C03995,P00608,O004322,4,2024-04-05
R000032,C04250,P00281,O000369,4,2023-08-07
R000033,C01610,P00844,O002251,2,2024-03-07
R000034,C04360,P00972,O009126,2,2025-06-20
R000035,C01809,P00119,O001882,5,2023-06-30
R000036,C02381,P00113,O018469,5,2026-01-25
R000037,C04139,P00639,O010953,5,2024-08-10
R000038,C03337,P00865,O017001,3,2025-03-30
R000039,C04733,P00391,O020813,5,2024-04-27
R000040,C03945,P00532,O007046,3,2025-09-10
R000041,C02672,P00250,O008530,5,2023-04-05
R000042,C04712,P00809,O014716,5,2025-10-26
R000043,C01818,P00876,O013933,2,2025-07-29
R000044,C01175,P00711,O023930,2,2024-02-28
R000045,C01914,P00041,O002159,3,2023-05-31
R000046,C03469,P00032,O008135,3,2025-05-11
R000047,C00769,P00907,O008880,4,2024-01-09
R000048,C04039,P00518,O024367,4,2025-10-17
R000049,C03714,P00755,O021060,5,2025-05-18
R000050,C00576,P00892,O020832,5,2024-02-04
R000051,C01928,P00673,O015198,4,2025-04-25
R000052,C04043,P00646,O022543,1,2026-02-14
R000053,C00007,P00670,O001501,1,2025-08-29
R000054,C02620,P00879,O018682,5,2026-01-26
R000055,C01548,P00676,O002029,4,2026-03-26
R000056,C01748,P00486,O013396,4,2023-09-27
R000057,C01296,P00978,O011434,4,2024-11-07
R000058,C00902,P00715,O003012,4,2024-05-02
R000059,C03732,P00760,O012864,3,2025-07-02
R000060,C01512,P00106,O020132,4,2024-11-15
R000061,C03191,P00779,O020974,5,2025-01-08
R000062,C01727,P00748,O007045,3,2025-08-10
R000063,C04323,P00377,O024853,3,2025-09-21
R000064,C00545,P00010,O004749,3,2023-05-03
R000065,C03563,P00797,O022161,4,2025-09-06
R000066,C04103,P00277,O002503,3,2025-11-25
R000067,C02959,P00418,O022765,4,2023-03-17
R000068,C01946,P00612,O000128,5,2025-08-24
R000069,C01376,P00599,O016484,5,2023-02-18
R000070,C02626,P00976,O024750,4,2025-11-15
R000071,C03222,P00482,O002498,4,2024-01-12
R000072,C00472,P00650,O006192,4,2024-05-01
R000073,C03819,P00151,O024232,2,2023-02-16
R000074,C03443,P00525,O012833,5,2024-09-29
R000075,C03845,P00084,O009436,4,2026-03-26
R000076,C04415,P00149,O015642,1,2026-03-28
R000077,C01753,P00156,O003617,5,2024-10-24
R000078,C00495,P00966,O022829,1,2023-05-14
R000079,C00282,P00155,O010093,3,2026-01-29
R000080,C02656,P00512,O005174,4,2023-07-06
R000081,C00486,P00933,O021934,4,2023-06-08
R000082,C00888,P00311,O011471,3,2025-10-06
R000083,C04816,P00705,O013381,3,2025-08-28
R000084,C01292,P00184,O021683,3,2025-08-09
R000085,C03202,P00945,O005110,4,2023-07-18
R000086,C02395,P00721,O010841,5,2025-02-01
R000087,C04754,P00720,O002352,5,2025-10-19
R000088,C04188,P00349,O006964,3,2023-06-25
R000089,C01520,P00232,O014526,5,2023-05-23
R000090,C02217,P00340,O000396,4,2023-04-28
R000091,C02532,P00780,O013904,4,2024-01-06
R000092,C01995,P00890,O015663,5,2023-03-01
R000093,C03142,P00623,O019573,4,2023-04-21
R000094,C00661,P00162,O015427,4,2024-08-10
R000095,C03291,P00811,O000889,5,2025-04-05
R000096,C04257,P00569,O011444,4,2024-05-09
R000097,C03253,P00121,O018176,2,2023-10-05
R000098,C02401,P00022,O016293,4,2025-10-11
R000099,C03842,P00196,O008531,2,2023-01-26
R000100,C02307,P00300,O013944,2,2025-10-03
R000101,C01274,P00225,O013406,4,2024-06-25
R000102,C02970,P00252,O005388,5,2023-12-19
R000103,C04593,P00165,O016908,5,2024-12-04
R000104,C04432,P00457,O009230,3,2023-04-23
R000105,C00532,P00885,O010687,5,2024-09-15
R000106,C01231,P00513,O001979,4,2025-01-14
R000107,C03140,P00890,O017267,2,2025-07-24
R000108,C04889,P00649,O008691,4,2023-12-14
R000109,C04134,P00919,O003458,5,2023-05-24
R000110,C01813,P00741,O017992,5,2025-02-07
R000111,C04615,P00850,O018169,5,2025-12-08
R000112,C02030,P00878,O020081,5,2025-01-11
R000113,C02763,P00388,O010373,4,2025-12-29
R000114,C01885,P00839,O009529,3,2023-12-29
R000115,C01731,P00398,O002011,5,2024-10-28
R000116,C00248,P00331,O016080,5,2024-09-01
R000117,C01223,P00148,O023642,2,2026-03-14
R000118,C04421,P00906,O018890,4,2024-09-10
R000119,C01289,P00870,O017871,5,2024-01-16
R000120,C02726,P00444,O022074,5,2024-01-24
R000121,C00578,P00426,O021362,4,2026-03-14
R000122,C01842,P00008,O007016,4,2023-01-20
R000123,C02570,P00754,O008843,5,2026-03-19
R000124,C02365,P00739,O000612,4,2024-06-25
R000125,C02151,P00809,O004981,4,2023-06-09
R000126,C01266,P00901,O005948,4,2025-12-03
R000127,C00436,P00573,O024257,5,2024-11-30
R000128,C00065,P00827,O021241,4,2024-03-26
R000129,C02337,P00263,O006142,4,2026-02-19
R000130,C04236,P00537,O010298,5,2025-10-08
R000131,C04100,P00380,O021097,2,2024-03-01
R000132,C01899,P00277,O014751,4,2025-01-28
R000133,C01647,P00540,O005504,4,2024-08-25
R000134,C03879,P00708,O022016,5,2023-06-16
R000135,C02784,P00792,O000608,3,2024-10-16
R000136,C01124,P00108,O013130,5,2023-10-02
R000137,C03505,P00740,O008211,4,2025-02-17
R000138,C04330,P00359,O024669,4,2023-08-30
R000139,C01707,P00308,O015748,3,2024-02-23
R000140,C02928,P00823,O010147,4,2023-03-20
R000141,C02391,P00950,O013056,3,2024-01-18
R000142,C04908,P00681,O017301,5,2023-03-15
R000143,C01159,P00760,O016245,5,2025-10-26
R000144,C01702,P00463,O011954,4,2024-12-01
R000145,C04154,P00321,O017554,3,2024-11-21
R000146,C01255,P00616,O006273,5,2023-08-20
R000147,C01915,P00620,O002137,3,2026-01-14
R000148,C02761,P00271,O005250,3,2026-03-22
R000149,C02864,P00796,O007952,5,2025-06-20
R000150,C00624,P00200,O017005,5,2026-02-07
R000151,C04764,P00359,O022548,4,2024-07-17
R000152,C01558,P00366,O017255,5,2026-02-05
R000153,C04417,P00215,O010430,5,2023-10-13
R000154,C04549,P00811,O024106,5,2023-11-04
R000155,C00156,P00812,O000409,4,2024-07-28
R000156,C03234,P00845,O024427,3,2023-09-12
R000157,C00176,P00181,O016016,4,2024-04-08
R000158,C01590,P00032,O018642,4,2024-12-25
R000159,C01547,P00265,O007843,4,2023-02-07
R000160,C02028,P00890,O010980,4,2025-09-20
R000161,C02033,P00888,O022686,5,2025-01-16
R000162,C02189,P00069,O011974,5,2025-10-14
R000163,C03562,P00097,O003367,4,2023-07-13
R000164,C01439,P00596,O014920,4,2024-06-25
R000165,C04447,P00397,O017918,4,2025-04-07
R000166,C01164,P00452,O006095,2,2026-03-27
R000167,C04983,P00321,O013974,4,2025-03-24
R000168,C01914,P00064,O010674,5,2023-09-06
R000169,C03735,P00848,O007988,4,2024-02-16
R000170,C02829,P00257,O019111,3,2025-04-25
R000171,C02108,P00411,O019116,5,2023-02-09
R000172,C00078,P00947,O002905,4,2026-01-26
R000173,C01419,P00587,O018353,5,2023-10-10
R000174,C03084,P00919,O009703,3,2025-04-08
R000175,C02442,P00412,O008186,1,2024-05-11
R000176,C03820,P00767,O007864,1,2024-04-11
R000177,C01326,P00189,O009754,4,2023-04-03
R000178,C02556,P00194,O011997,4,2025-03-05
R000179,C01889,P00818,O003858,4,2024-03-06
R000180,C00203,P00805,O008939,3,2025-12-14
R000181,C04020,P00952,O024705,4,2023-06-24
R000182,C03670,P00819,O007473,4,2026-01-16
R000183,C01919,P00487,O020538,5,2025-05-13
R000184,C02982,P00566,O010907,5,2023-07-16
R000185,C04635,P00818,O018065,4,2024-06-15
R000186,C02994,P00434,O022443,5,2023-07-16
R000187,C01914,P00504,O024179,5,2024-01-27
R000188,C03131,P00393,O010275,3,2025-11-10
R000189,C02040,P00300,O010466,1,2024-05-21
R000190,C02353,P00832,O006935,5,2025-02-14
R000191,C01380,P00109,O012846,4,2024-04-08
R000192,C03174,P00920,O010749,4,2025-08-15
R000193,C01844,P00654,O008500,1,2025-10-19
R000194,C01915,P00149,O021986,5,2024-03-27
R000195,C00627,P00044,O010578,5,2025-09-21
R000196,C01347,P00479,O008139,3,2023-04-22
R000197,C00062,P00622,O006884,5,2025-03-07
R000198,C04593,P00552,O021612,4,2025-10-26
R000199,C01821,P00358,O006259,2,2026-03-28
R000200,C02752,P00163,O020644,4,2025-12-14
R000201,C01679,P00159,O003559,5,2023-12-29
R000202,C04212,P00548,O019132,1,2025-05-11
R000203,C03074,P00181,O017591,5,2023-05-20
R000204,C01952,P00618,O021662,5,2023-03-16
R000205,C02675,P00044,O010540,4,2024-02-24
R000206,C01185,P00227,O016330,4,2025-02-18
R000207,C04647,P00384,O019383,2,2023-08-20
R000208,C02741,P00365,O005705,5,2024-02-14
R000209,C01199,P00760,O010811,3,2024-07-21
R000210,C01491,P00672,O013886,3,2024-03-18
R000211,C02632,P00138,O013270,5,2023-01-27
R000212,C00285,P00226,O000559,3,2024-12-04
R000213,C01773,P00741,O015793,4,2023-01-26
R000214,C02586,P00233,O020062,2,2024-08-03
R000215,C04436,P00850,O017540,3,2023-07-16
R000216,C03166,P00494,O021392,5,2023-03-04
R000217,C00989,P00232,O020429,4,2023-03-06
R000218,C04883,P00397,O009022,4,2025-05-07
R000219,C04244,P00019,O005109,3,2024-07-21
R000220,C01200,P00657,O006713,4,2024-08-28
R000221,C04170,P00395,O001962,4,2024-04-24
R000222,C00312,P00816,O014926,4,2025-12-31
R000223,C02711,P00452,O016222,5,2024-10-06
R000224,C03552,P00397,O002582,3,2025-09-20
R000225,C04893,P00119,O014332,1,2025-05-01
R000226,C03610,P00084,O011541,4,2024-11-03
R000227,C01164,P00169,O015627,1,2024-01-03
R000228,C00174,P00733,O010940,5,2023-06-21
R000229,C00537,P00421,O000818,4,2026-03-03
R000230,C01705,P00303,O019986,4,2024-10-27
R000231,C02170,P00852,O010351,1,2025-02-10
R000232,C00967,P00035,O000353,5,2025-10-16
R000233,C04198,P00908,O004592,3,2025-08-08
R000234,C00717,P00836,O019058,4,2024-06-02
R000235,C00291,P00751,O015745,4,2023-07-14
R000236,C03412,P00764,O002329,4,2025-02-11
R000237,C02373,P00631,O011328,4,2023-08-04
R000238,C01334,P00957,O024877,3,2023-04-12
R000239,C04662,P00951,O020641,2,2023-04-29
R000240,C01702,P00577,O001106,5,2025-12-10
R000241,C01854,P00569,O018980,4,2025-10-12
R000242,C00729,P00860,O013679,4,2025-01-20
R000243,C03631,P00761,O015261,4,2025-04-09
R000244,C04731,P00602,O017310,5,2024-12-07
R000245,C02484,P00398,O015544,5,2024-01-14
R000246,C01099,P00396,O008338,5,2024-07-07
R000247,C00122,P00338,O018541,5,2024-09-11
R000248,C04629,P00355,O023990,3,2025-02-10
R000249,C02503,P00230,O005713,5,2025-05-28
R000250,C02330,P00704,O009596,3,2023-03-09
R000251,C01702,P00732,O012017,5,2023-12-09
R000252,C03552,P00102,O012971,5,2025-11-17
R000253,C02708,P00973,O022869,5,2024-06-15
R000254,C00981,P00592,O024366,4,2026-03-18
R000255,C04377,P00726,O006891,5,2023-10-01
R000256,C02608,P00773,O020185,3,2025-03-30
R000257,C03016,P00532,O001153,4,2025-07-25
R000258,C01724,P00368,O020544,5,2023-10-09
R000259,C01705,P00398,O015781,3,2023-08-28
R000260,C01637,P00613,O003626,3,2023-11-06
R000261,C03253,P00007,O018691,5,2023-02-11
