session_id,customer_id,session_date,device,traffic_source,pages_viewed,session_duration_min,added_to_cart,made_purchase
S0000001,C02560,2026-02-07,Desktop,Direct,11,39.46,0,0
S0000002,C01735,2025-03-14,Desktop,Social,1,4.58,0,0
S0000003,C00564,2025-07-07,Tablet,Referral,9,5.26,0,0
S0000004,C04679,2025-01-01,Mobile,Organic,21,24.08,0,0
S0000005,C03681,2025-06-29,Mobile,Organic,17,32.95,1,0
S0000006,C02228,2025-01-03,Desktop,Direct,17,32.13,1,0
S0000007,C03703,2025-06-25,Mobile,Email,17,1.32,1,0
S0000008,C00379,2025-10-13,Tablet,Email,3,11.37,0,0
S0000009,C03018,2025-07-28,Mobile,Direct,16,11.61,1,0
S0000010,C02756,2025-10-06,Tablet,Organic,13,20.18,0,0
S0000011,C04608,2024-07-31,Tablet,Referral,3,36.58,0,0
S0000012,C01924,2025-09-27,Mobile,Paid Ads,10,6.88,0,0
S0000013,C03899,2025-05-07,Mobile,Social,7,17.28,0,0
S0000014,C02238,2023-10-09,Mobile,Referral,4,9.84,1,0
S0000015,C04014,2025-03-08,Mobile,Referral,14,14.39,0,0
S0000016,C02369,2024-09-14,Desktop,Referral,13,28.09,0,0
S0000017,C01018,2024-03-20,Mobile,Organic,4,16.74,1,1
S0000018,C00194,2026-03-15,Desktop,Social,17,29.1,0,0
S0000019,C01628,2025-12-02,Desktop,Social,7,18.56,1,1
S0000020,C03686,2025-05-21,Mobile,Email,23,26.77,1,1
S0000021,C04127,2025-11-09,Mobile,Paid Ads,4,12.4,0,0
S0000022,C03656,2026-03-25,Desktop,Social,17,36.67,0,0
S0000023,C04867,2024-07-26,Mobile,Paid Ads,13,16.59,0,0
S0000024,C00769,2026-03-09,Mobile,Direct,14,8.17,0,0
S0000025,C00471,2026-03-09,Desktop,Paid Ads,10,8.99,0,0
S0000026,C04249,2025-12-03,Mobile,Direct,15,15.9,0,0
S0000027,C04143,2025-08-05,Tablet,Email,20,7.66,0,0
S0000028,C03128,2025-01-04,Desktop,Referral,12,25.83,1,1
S0000029,C03323,2024-12-30,Mobile,Social,17,24.9,0,0
S0000030,C01650,2026-02-14,Mobile,Paid Ads,22,24.64,1,1
S0000031,C03643,2026-02-23,Desktop,Referral,21,21.24,0,0
S0000032,C02333,2025-12-04,Desktop,Referral,1,15.91,0,0
S0000033,C03669,2026-02-15,Mobile,Email,22,30.78,0,0
S0000034,C01112,2026-01-18,Tablet,Referral,1,1.83,1,1
S0000035,C03780,2024-10-31,Desktop,Social,20,6.32,0,0
S0000036,C02836,2025-10-30,Tablet,Paid Ads,20,23.35,0,0
S0000037,C02957,2026-03-23,Desktop,Email,15,6.82,0,0
S0000038,C04246,2025-10-05,Desktop,Social,17,3.34,0,0
S0000039,C04770,2025-09-25,Desktop,Direct,1,37.41,1,1
S0000040,C00039,2026-01-18,Mobile,Email,18,29.86,0,0
S0000041,C01103,2025-11-12,Desktop,Organic,20,27.29,1,1
S0000042,C01724,2025-06-17,Mobile,Referral,20,13.18,0,0
S0000043,C04054,2025-02-02,Desktop,Organic,8,36.19,0,0
S0000044,C03397,2025-07-26,Mobile,Paid Ads,11,38.95,1,1
S0000045,C00623,2024-05-30,Desktop,Email,2,29.62,0,0
S0000046,C02392,2024-04-24,Mobile,Direct,24,19.51,0,0
S0000047,C03630,2026-01-12,Desktop,Email,6,19.58,0,0
S0000048,C03099,2025-07-20,Desktop,Email,10,23.55,0,1
S0000049,C02584,2025-05-19,Tablet,Social,8,10.31,1,1
S0000050,C04829,2026-03-18,Mobile,Email,13,19.77,0,0
S0000051,C02096,2024-10-06,Desktop,Social,21,16.5,1,0
S0000052,C02212,2026-02-14,Mobile,Social,14,28.84,1,0
S0000053,C00398,2024-08-30,Desktop,Direct,4,30.13,1,1
S0000054,C04432,2026-02-02,Desktop,Direct,19,18.89,1,1
S0000055,C00481,2025-12-05,Mobile,Organic,9,20.86,0,0
S0000056,C00190,2025-11-19,Mobile,Social,20,30.25,0,0
S0000057,C00077,2026-01-02,Tablet,Organic,3,39.03,1,0
S0000058,C00956,2025-11-30,Mobile,Email,22,24.61,1,1
S0000059,C02177,2024-06-25,Mobile,Social,17,31.23,0,0
S0000060,C04872,2025-12-01,Mobile,Direct,9,7.4,0,0
S0000061,C01250,2025-12-15,Tablet,Direct,16,19.79,1,1
S0000062,C04906,2025-06-13,Mobile,Paid Ads,15,28.68,0,0
S0000063,C04557,2025-03-07,Tablet,Email,24,31.07,0,0
S0000064,C01897,2025-12-19,Mobile,Direct,9,5.96,0,0
S0000065,C00636,2025-11-04,Mobile,Email,12,37.12,0,0
S0000066,C02119,2025-09-02,Tablet,Referral,6,2.48,0,0
S0000067,C02495,2024-10-23,Desktop,Email,22,18.96,0,0
S0000068,C03242,2025-09-12,Desktop,Referral,10,19.6,1,1
S0000069,C03502,2026-01-17,Mobile,Social,4,19.86,1,1
S0000070,C04826,2025-04-23,Mobile,Direct,24,9.94,0,1
S0000071,C04229,2025-09-23,Desktop,Paid Ads,7,23.22,1,1
S0000072,C02553,2026-02-19,Mobile,Paid Ads,22,11.76,0,0
S0000073,C00903,2024-10-18,Desktop,Social,8,7.24,0,0
S0000074,C02979,2025-11-02,Mobile,Direct,18,5.86,1,1
S0000075,C02190,2025-08-20,Mobile,Paid Ads,10,12.26,1,0
S0000076,C04650,2025-10-18,Mobile,Social,20,3.63,1,1
S0000077,C01476,2024-09-12,Mobile,Direct,19,15.45,0,0
S0000078,C03086,2026-01-12,Mobile,Paid Ads,16,38.65,1,0
S0000079,C02787,2025-11-06,Mobile,Organic,3,13.73,0,0
S0000080,C01522,2025-12-15,Mobile,Organic,18,31.19,0,0
S0000081,C04081,2024-09-05,Mobile,Direct,16,32.36,0,0
S0000082,C03009,2026-02-20,Mobile,Organic,15,17.81,0,0
S0000083,C04251,2025-10-28,Desktop,Email,11,10.98,0,0
S0000084,C04802,2026-03-07,Desktop,Organic,7,9.59,0,0
S0000085,C02494,2025-01-02,Mobile,Paid Ads,3,6.62,0,1
S0000086,C03076,2025-03-04,Desktop,Social,18,4.72,0,0
S0000087,C00044,2025-08-31,Desktop,Organic,10,38.61,0,0
S0000088,C00827,2024-06-09,Mobile,Social,6,16.94,0,0
S0000089,C04195,2025-05-24,Desktop,Organic,16,13.2,1,0
S0000090,C04929,2025-12-27,Desktop,Social,19,38.55,0,0
S0000091,C02457,2024-06-01,Mobile,Referral,14,29.33,1,1
S0000092,C02947,2024-11-10,Desktop,Organic,2,3.7,0,0
S0000093,C03188,2026-02-28,Tablet,Social,20,18.28,0,0
S0000094,C00139,2026-03-19,Desktop,Paid Ads,14,35.54,0,0
S0000095,C03914,2024-02-12,Desktop,Direct,22,28.19,1,1
S0000096,C01314,2025-07-09,Desktop,Referral,9,15.31,0,0
S0000097,C03896,2026-02-21,Desktop,Direct,18,24.03,0,0
S0000098,C01255,2025-03-16,Mobile,Organic,24,21.03,0,0
S0000099,C02097,2024-04-03,Desktop,Paid Ads,1,22.0,1,1
S0000100,C03873,2026-03-09,Desktop,Referral,5,29.15,0,0
S0000101,C01454,2026-02-08,Desktop,Email,21,3.53,0,0
S0000102,C03866,2024-07-19,Mobile,Paid Ads,7,26.12,0,0
S0000103,C03900,2025-12-27,Desktop,Paid Ads,23,36.29,1,1
S0000104,C04728,2025-09-10,Mobile,Social,7,37.06,1,1
S0000105,C00940,2025-03-01,Mobile,Paid Ads,17,25.84,0,0
S0000106,C04733,2025-12-12,Mobile,Referral,4,22.26,0,0
S0000107,C02549,2025-03-09,Desktop,Organic,11,11.21,1,0
S0000108,C04528,2026-01-20,Mobile,Social,23,29.81,0,0
S0000109,C03065,2026-01-05,Desktop,Paid Ads,1,18.6,1,0
S0000110,C02053,2026-03-13,Tablet,Social,17,37.85,0,0
S0000111,C01622,2025-06-13,Mobile,Paid Ads,16,29.0,1,1
S0000112,C01405,2026-01-19,Desktop,Direct,5,17.09,1,1
S0000113,C01170,2024-09-10,Mobile,Email,1,36.19,0,0
S0000114,C03964,2024-04-08,Tablet,Referral,10,5.99,0,0
S0000115,C04712,2025-08-08,Desktop,Social,19,29.09,0,0
S0000116,C01295,2025-04-24,Mobile,Direct,9,6.71,0,0
S0000117,C00239,2025-06-26,Mobile,Referral,22,8.44,1,0
S0000118,C04369,2023-10-30,Mobile,Direct,16,30.99,0,0
S0000119,C01574,2025-04-02,Tablet,Organic,19,6.36,1,1
S0000120,C03212,2026-02-01,Mobile,Social,18,12.11,0,0
S0000121,C01957,2026-01-13,Mobile,Email,15,17.13,0,0
S0000122,C01150,2026-02-06,Mobile,Organic,1,16.32,1,1
S0000123,C00228,2025-10-03,Desktop,Referral,6,17.18,0,0
S0000124,C04362,2026-03-05,Mobile,Direct,24,2.34,0,0
S0000125,C00642,2025-09-14,Mobile,Paid Ads,21,30.84,0,0
S0000126,C04154,2023-11-13,Mobile,Paid Ads,11,9.64,1,1
S0000127,C01633,2025-10-03,Desktop,Social,8,29.27,0,0
S0000128,C01704,2025-12-01,Tablet,Email,14,28.3,0,0
S0000129,C01361,2025-11-19,Mobile,Direct,7,18.56,0,0
S0000130,C02702,2025-04-29,Desktop,Organic,4,14.47,0,0
S0000131,C00389,2026-02-01,Desktop,Email,23,2.1,0,0
S0000132,C02900,2025-04-22,Mobile,Direct,16,35.04,1,0
S0000133,C01209,2026-03-28,Desktop,Email,14,5.54,0,0
S0000134,C03867,2025-09-29,Mobile,Email,8,14.67,0,0
S0000135,C00125,2025-12-22,Tablet,Social,16,3.15,1,0
S0000136,C02169,2025-10-14,Mobile,Organic,2,35.26,1,0
S0000137,C00143,2024-07-03,Tablet,Social,19,28.07,1,0
S0000138,C01709,2024-06-07,Tablet,Direct,5,29.99,1,0
S0000139,C04927,2026-03-28,Mobile,Direct,17,25.49,0,0
S0000140,C02679,2023-04-11,Mobile,Direct,15,6.7,0,0
S0000141,C01349,2026-02-12,Desktop,Social,7,7.67,1,1
S0000142,C02282,2025-08-05,Mobile,Referral,7,28.82,0,0
S0000143,C04295,2026-02-13,Mobile,Social,18,12.44,1,0
S0000144,C02514,2025-12-04,Desktop,Paid Ads,16,7.05,0,1
S0000145,C02885,2025-04-17,Mobile,Social,12,26.42,1,0
S0000146,C03881,2025-03-06,Desktop,Direct,24,9.12,0,0
S0000147,C04941,2024-10-26,Desktop,Email,17,19.13,1,1
S0000148,C00920,2026-02-20,Mobile,Direct,24,7.1,0,0
S0000149,C00914,2025-12-19,Mobile,Paid Ads,3,36.4,0,0
S0000150,C01729,2026-02-06,Mobile,Paid Ads,2,14.81,0,0
S0000151,C02973,2025-07-23,Mobile,Organic,3,19.76,0,0
S0000152,C00116,2025-12-27,Mobile,Organic,19,28.47,1,0
S0000153,C01110,2025-12-05,Mobile,Social,18,5.92,0,0
